events,date
"[{'type': '投资', 'offset': [18, 20], 'trigger': '投资', 'arguments': [{'mention': '抽水蓄能电站项目施工现场', 'offset': [26, 38], 'role': '投资-obj'}, {'mention': '农业银行', 'offset': [191, 195], 'role': '投资-sub'}]}, {'type': '制造', 'offset': [117, 119], 'trigger': '生产', 'arguments': [{'mention': '抽水蓄能电站项目施工现场', 'offset': [26, 38], 'role': '投资-obj'}, {'mention': '农业银行', 'offset': [191, 195], 'role': '投资-sub'}]}]",
,2024-05-24
"[{'type': '财经/交易融资', 'offset': [72, 74], 'trigger': '贷款', 'arguments': [{'mention': '一季度', 'offset': [67, 70], 'role': '投资-date'}, {'mention': '本外币绿色贷款', 'offset': [132, 139], 'role': '投资-obj'}, {'mention': '中国人民银行', 'offset': [91, 97], 'role': '投资-sub'}]}]",
,2024-05-24
"[{'type': '放贷', 'offset': [433, 435], 'trigger': '贷款', 'arguments': [{'mention': '邮储银行新疆分行', 'offset': [58, 66], 'role': '投资-sub'}]}]",
,2024-05-23
"[{'type': '放贷', 'offset': [63, 65], 'trigger': '贷款', 'arguments': [{'mention': '农行波密县支行', 'offset': [185, 192], 'role': '融资方'}, {'mention': '今年一季度', 'offset': [52, 57], 'role': '时间'}, {'mention': '100万元', 'offset': [200, 205], 'role': '融资金额'}]}]",
,2024-05-23
[],
,2024-05-23
"[{'type': '支付/给付', 'offset': [84, 86], 'trigger': '支付', 'arguments': [{'mention': '400万元', 'offset': [67, 72], 'role': '股份股权转让-money'}]}, {'type': '支付/给付', 'offset': [65, 67], 'trigger': '发放', 'arguments': [{'mention': '400万元', 'offset': [67, 72], 'role': '股份股权转让-money'}]}]",
,2024-05-23
"[{'type': '通知/提醒', 'offset': [11, 13], 'trigger': '发布', 'arguments': [{'mention': '近日', 'offset': [0, 2], 'role': '时间'}, {'mention': '国家金融监管总局', 'offset': [3, 11], 'role': '发布方'}]}, {'type': '要求/请求', 'offset': [63, 65], 'trigger': '要求', 'arguments': [{'mention': '国家金融监管总局', 'offset': [3, 11], 'role': '发布方'}, {'mention': '近日', 'offset': [0, 2], 'role': '时间'}]}]",
,2024-05-23
"[{'type': '放贷', 'offset': [63, 65], 'trigger': '贷款', 'arguments': [{'mention': '农行波密县支行', 'offset': [185, 192], 'role': '融资方'}, {'mention': '今年一季度', 'offset': [52, 57], 'role': '时间'}, {'mention': '100万元', 'offset': [200, 205], 'role': '融资金额'}]}]",
,2024-05-22
"[{'type': '通知/提醒', 'offset': [247, 249], 'trigger': '通知', 'arguments': [{'mention': '日前', 'offset': [198, 200], 'role': '时间'}, {'mention': '中国人民银行厦门市分行', 'offset': [207, 218], 'role': '约谈发起方'}, {'mention': '台企技术创新基金项下碳效益挂钩贷款业务', 'offset': [65, 84], 'role': '约谈对象'}, {'mention': '市委金融办', 'offset': [201, 206], 'role': '约谈发起方'}]}, {'type': '获利', 'offset': [31, 33], 'trigger': '获得', 'arguments': [{'mention': '中国人民银行厦门市分行', 'offset': [207, 218], 'role': '约谈发起方'}, {'mention': '台企技术创新基金项下碳效益挂钩贷款业务', 'offset': [65, 84], 'role': '约谈对象'}, {'mention': '市委金融办', 'offset': [201, 206], 'role': '约谈发起方'}, {'mention': '日前', 'offset': [198, 200], 'role': '时间'}]}]",
,2024-05-22
"[{'type': '财经/交易收入', 'offset': [41, 43], 'trigger': '收入', 'arguments': [{'mention': '2023年', 'offset': [33, 38], 'role': '时间'}, {'mention': '创纪录的1040亿美元', 'offset': [45, 56], 'role': '投资-money'}]}]",
,2024-05-22
"[{'type': '通知/提醒', 'offset': [25, 27], 'trigger': '宣布', 'arguments': [{'mention': '环旭电子', 'offset': [28, 32], 'role': '投资-obj'}, {'mention': '渣打国际商业银行', 'offset': [10, 18], 'role': '投资-sub'}, {'mention': '超过3.2亿美元', 'offset': [60, 68], 'role': '投资-money'}]}]",
,2024-05-22
"[{'type': 'artifact', 'offset': [301, 313], 'trigger': 'construction', 'arguments': []}, {'type': '通知/提醒', 'offset': [19, 21], 'trigger': '宣布', 'arguments': []}, {'type': 'broadcast', 'offset': [220, 229], 'trigger': 'announced', 'arguments': []}]",
,2024-05-21
"[{'type': '投资', 'offset': [2256, 2258], 'trigger': '投资', 'arguments': [{'mention': '金融机构', 'offset': [129, 133], 'role': '投资-sub'}, {'mention': '社会组织', 'offset': [252, 256], 'role': '投资-sub'}, {'mention': '气候投融资', 'offset': [14, 19], 'role': '投资-obj'}, {'mention': '政府', 'offset': [236, 238], 'role': '投资-sub'}, {'mention': '研究机构', 'offset': [247, 251], 'role': '投资-sub'}, {'mention': '企业', 'offset': [239, 241], 'role': '投资-sub'}]}]",
,2024-05-20
[],
,2024-05-20
"[{'type': '租用/借用', 'offset': [91, 93], 'trigger': '租赁', 'arguments': [{'mention': '瑞华四季', 'offset': [168, 172], 'role': '投资-obj'}, {'mention': '近日', 'offset': [17, 19], 'role': '投资-date'}, {'mention': '5亿元', 'offset': [108, 111], 'role': '投资-money'}, {'mention': '苏州恒泰控股集团有限公司', 'offset': [34, 46], 'role': '投资-sub'}, {'mention': '江韵四季', 'offset': [173, 177], 'role': '投资-obj'}, {'mention': '淞北四季', 'offset': [178, 182], 'role': '投资-obj'}]}]",
,2024-05-20
"[{'type': '放贷', 'offset': [23, 25], 'trigger': '贷款', 'arguments': [{'mention': '绿色金融', 'offset': [124, 128], 'role': '投资-obj'}, {'mention': '一季度', 'offset': [16, 19], 'role': '投资-date'}]}, {'type': '通知/提醒', 'offset': [29, 31], 'trigger': '报告', 'arguments': [{'mention': '一季度', 'offset': [16, 19], 'role': '投资-date'}, {'mention': '绿色金融', 'offset': [124, 128], 'role': '投资-obj'}]}]",
,2024-05-20
